action,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5
fel,-414.405518,-336.879333,-173.351761,-131.402100,-275.184784,-129.832596,16.014591,-169.742188,-26.957706,125.770004,-65.153503,11.148979,418.830933,280.534210,641.699524
fel,-402.470642,-318.982086,-154.588394,-119.391777,-261.240723,-113.351524,37.910240,-145.937057,-3.883148,145.567535,-42.834995,31.043156,418.830933,280.534210,641.699524
fel,-400.411591,-320.963593,-168.870163,-117.005043,-257.139557,-120.429451,33.208256,-152.056061,-17.281187,147.194138,-45.199314,20.552832,418.830933,280.534210,641.699524
fel,-400.094269,-314.270386,-156.939285,-110.271317,-240.471710,-111.929985,30.051662,-146.100677,-16.663185,142.072708,-36.373764,25.039612,418.830933,280.534210,641.699524
fel,-392.056122,-312.481598,-160.666367,-125.019539,-260.836029,-115.432152,25.350065,-165.801147,-9.814555,137.890076,-53.390759,27.087967,418.830933,280.534210,641.699524
fel,-389.190430,-298.152130,-128.663300,-121.003700,-252.194611,-109.870552,9.818987,-155.140045,-12.836011,121.338806,-50.393223,18.821819,418.830933,280.534210,641.699524
fel,-400.894226,-308.071136,-156.720901,-87.704224,-234.091476,-108.879501,55.058289,-132.120667,-6.249606,167.798569,-27.498171,32.530506,418.830933,280.534210,641.699524
fel,-399.463562,-321.981567,-175.077133,-74.978554,-235.251312,-99.148972,63.560127,-134.964325,-4.298990,189.847900,-15.982137,44.363853,418.830933,280.534210,641.699524
fel,-398.213654,-317.891663,-158.585983,-101.740295,-257.207336,-98.182510,26.998699,-159.901550,-8.142089,154.803101,-42.327076,38.021267,418.830933,280.534210,641.699524
fel,-383.638885,-289.385284,-135.933456,-108.650604,-235.451355,-111.775429,38.079208,-127.865723,-12.304914,157.013031,-20.197866,33.176636,418.830933,280.534210,641.699524
fel,-379.451721,-290.691223,-143.477264,-112.774727,-238.116455,-108.467163,46.995365,-126.358490,2.215461,160.716675,-19.528128,43.812412,418.830933,280.534210,641.699524
fel,-399.362183,-307.442902,-148.237366,-159.661530,-277.281525,-153.806137,-3.377023,-171.319397,-45.409332,124.145638,-55.370266,0.448699,418.830933,280.534210,641.699524
fel,-362.918945,-272.532410,-148.627304,-85.776550,-232.955124,-104.644890,77.808014,-118.324493,8.059402,189.243851,-2.831555,54.824291,418.830933,280.534210,641.699524
fel,-383.291534,-295.678833,-160.956741,-109.893867,-257.768402,-117.686920,27.199034,-161.626160,-21.519657,145.591080,-47.386742,22.471809,418.830933,280.534210,641.699524
fel,-360.864258,-274.105133,-130.925247,-133.437714,-256.108673,-124.925018,19.389788,-148.060730,-22.436743,143.301758,-32.277565,21.823059,418.830933,280.534210,641.699524
fel,-376.120850,-290.377045,-146.979904,-134.434570,-274.472687,-125.910255,16.663593,-169.710999,-19.362339,136.347656,-51.688839,27.240746,418.830933,280.534210,641.699524
fel,-369.928101,-287.696869,-158.557114,-135.646820,-275.564697,-123.537361,18.832714,-173.347290,-15.189566,147.594971,-51.830494,32.394646,418.830933,280.534210,641.699524
fel,-369.585236,-270.369995,-119.266487,-110.818436,-248.194855,-102.594604,46.423439,-136.547897,6.474808,160.138824,-23.758354,54.404716,418.830933,280.534210,641.699524
fel,-345.614380,-250.071228,-113.465164,-83.413643,-242.495346,-86.731888,70.643181,-122.827034,22.150646,179.104141,-7.938056,66.249641,418.830933,280.534210,641.699524
fel,-387.196655,-293.178925,-144.428284,-140.786942,-273.946777,-115.725182,14.768250,-160.459839,-12.274923,124.325142,-48.876942,27.006371,418.830933,280.534210,641.699524
fel,-387.920654,-293.943420,-146.405930,-132.727905,-265.290283,-130.792145,19.734787,-154.055923,-21.974501,131.670959,-46.265179,17.724604,418.830933,280.534210,641.699524
fel,-368.711487,-275.500549,-134.098389,-129.645050,-259.575317,-119.621353,9.438879,-163.480392,-22.606251,116.785545,-60.976883,12.635860,418.830933,280.534210,641.699524
fel,-384.396362,-287.883392,-144.352509,-120.591316,-271.903778,-121.622498,52.136086,-136.819290,1.265597,153.773590,-32.165203,33.144802,418.830933,280.534210,641.699524
fel,-384.426147,-290.401550,-137.068329,-100.628906,-252.523651,-97.136192,39.573605,-146.380875,3.503965,130.591812,-54.380028,21.832546,418.830933,280.534210,641.699524
fel,-366.774323,-262.234131,-117.272346,-86.932846,-243.949753,-97.098251,65.083565,-122.597099,9.624305,154.430893,-26.620684,35.791466,418.830933,280.534210,641.699524
fel,-361.559998,-257.049347,-130.643021,-60.380299,-232.047501,-90.121841,107.502563,-100.078056,27.144808,228.702667,28.634367,85.919426,418.830933,280.534210,641.699524
fel,-363.650665,-264.828125,-126.334892,-89.169571,-246.815308,-96.855560,85.311882,-115.682144,27.040052,204.507614,1.907634,72.338730,418.830933,280.534210,641.699524
fel,-375.042084,-273.560059,-131.001526,-120.713638,-264.826599,-125.597954,53.120953,-144.475388,-6.699970,182.929138,-16.560242,49.098064,421.568390,282.367767,645.893616
fel,-368.965942,-278.286072,-151.803833,-107.091385,-249.867889,-118.274071,65.423897,-127.693207,0.517272,197.988647,-5.686326,54.911453,421.568390,282.367767,645.893616
fel,-364.904572,-262.976257,-133.128632,-126.861687,-264.045380,-134.849991,27.251892,-153.690292,-26.007959,162.796417,-30.469471,28.112478,418.830933,280.534210,641.699524
fel,-361.458740,-265.075653,-136.084076,-137.897385,-256.265350,-130.653305,16.740089,-150.532852,-21.495514,152.895294,-27.683290,31.898329,418.830933,280.534210,641.699524
fel,-356.587341,-258.408478,-132.249908,-113.953972,-249.932663,-120.167656,56.693466,-134.940613,-2.367619,188.290359,-12.648472,49.259697,418.830933,280.534210,641.699524
fel,-372.361053,-280.793243,-149.682312,-142.598404,-264.229675,-139.962570,16.630531,-153.147919,-26.242487,161.269196,-28.455526,28.270216,418.830933,280.534210,641.699524
fel,-381.363739,-286.861298,-148.908676,-176.525421,-282.247589,-150.793869,-26.196568,-169.642578,-36.055569,115.097404,-44.847965,15.387826,418.830933,280.534210,641.699524
fel,-358.866150,-264.637726,-146.159592,-142.376083,-252.088821,-139.628891,1.322450,-150.883408,-35.901787,152.088120,-19.068008,33.715881,418.830933,280.534210,641.699524
fel,-371.066071,-276.494263,-138.684036,-158.974014,-264.120758,-146.825714,-9.065331,-163.777145,-45.524525,135.531479,-37.552383,14.911869,421.568390,282.367767,645.893616
fel,-358.507965,-261.573090,-140.071884,-143.470200,-262.460999,-139.947845,15.905029,-153.377014,-27.754189,155.779800,-28.850307,30.076590,418.830933,280.534210,641.699524
fel,-368.860291,-268.781677,-139.004837,-147.419891,-267.520660,-143.568710,10.583430,-155.239243,-31.155546,152.756683,-27.666279,28.309164,418.830933,280.534210,641.699524
fel,-374.767151,-264.492615,-111.503899,-158.560364,-279.461060,-146.235382,-22.599276,-183.917450,-47.420635,125.628197,-44.063637,19.452829,418.830933,280.534210,641.699524
fel,-354.728577,-251.314316,-113.963455,-114.670700,-246.486633,-114.508041,35.719471,-139.015472,-7.818319,417.125488,283.259460,654.708923,421.568390,282.367767,645.893616
fel,-360.417419,-254.825302,-124.383278,-120.473488,-252.375122,-127.133240,35.077187,-143.476501,-17.364479,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-369.198914,-273.186768,-146.070847,-134.264114,-250.704361,-139.081741,21.745632,-139.183105,-30.139709,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-378.464783,-293.105560,-161.212784,-156.150467,-265.410919,-149.737839,5.193358,-145.637726,-33.719616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-365.547882,-281.448975,-164.639008,-163.795746,-263.896210,-153.726013,10.228987,-151.165222,-37.820930,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-369.594696,-288.915405,-170.176376,-163.940460,-268.070618,-155.475204,35.510925,-132.181931,-20.199841,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-359.658813,-275.021118,-159.792770,-121.614441,-237.443008,-122.800247,54.718208,-112.208794,1.999708,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-362.285980,-277.698914,-168.024200,-114.317337,-231.940094,-122.274834,33.962650,-131.854767,-21.850203,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-353.122620,-268.516907,-169.463181,-96.938599,-221.565613,-112.819275,57.226959,-118.368385,-8.593623,418.830933,280.534210,641.699524,418.830933,280.534210,641.699524
fel,-361.606201,-286.665924,-185.073669,-125.462021,-242.291565,-124.768196,31.635002,-137.387283,-12.396401,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-384.034882,-298.667358,-171.187988,-147.184845,-263.231476,-143.734787,408.438202,270.213989,633.134766,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-375.126068,-296.121063,-183.018646,-137.046844,-251.028076,-136.943420,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-375.971619,-289.571564,-164.659988,-158.245270,-261.398987,-150.897614,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-355.935364,-276.485382,-168.973480,-100.264328,-232.111176,-109.325211,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-361.593567,-271.536774,-156.759888,-115.218117,-225.620255,-122.084267,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-354.083923,-268.597931,-166.481934,-55.813602,-207.693893,-90.578445,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-345.452087,-263.000732,-167.971619,-52.613625,-203.721054,-87.897102,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-353.535278,-277.301147,-175.688553,-109.874870,-228.515060,-121.152008,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-367.073547,-290.669891,-185.617523,-131.342224,-245.415085,-137.714554,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-368.512756,-287.738556,-174.154053,-106.944084,-227.984985,-116.736885,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-374.179840,-290.600739,-167.268967,-128.447983,-243.879120,-137.296402,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-376.172150,-296.792542,-183.752777,-84.754128,-218.715530,-106.779289,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-372.356140,-283.312683,-163.396500,-78.218628,-210.500488,-102.260284,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-363.690460,-281.670990,-168.687775,-98.425125,-230.634293,-121.253212,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-368.000336,-291.633209,-183.037979,-65.137344,-206.114807,-96.038521,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-369.379822,-289.766754,-176.517548,-84.563942,-221.427734,-112.133240,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-381.566681,-300.833099,-180.467972,-115.267014,-236.938034,-124.897179,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-393.031921,-309.477844,-182.338623,-114.563507,-244.419464,-132.149109,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-378.358246,-294.407928,-178.845016,-100.486336,-230.319138,-119.928581,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-371.350525,-290.094513,-175.562531,-97.559692,-231.428665,-122.728508,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-375.630432,-295.581085,-179.522278,-107.370491,-227.350845,-123.132179,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-382.078430,-300.043304,-180.016586,-111.458778,-232.775314,-124.004135,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-364.484650,-279.646912,-169.328506,-93.555107,-223.758774,-111.150291,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-362.986572,-283.701630,-175.525604,-82.486084,-227.399063,-101.186386,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-358.197815,-290.651031,-192.569290,-88.571800,-222.633789,-117.585999,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-372.483246,-304.761292,-199.016083,-98.051567,-241.005020,-116.645042,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-375.405548,-303.453705,-191.277786,-115.088287,-246.184128,-127.516479,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-370.865234,-296.879028,-192.375366,-117.074249,-245.388702,-127.798164,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-348.024017,-270.392517,-173.502060,-104.932655,-234.254120,-119.710114,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-372.131561,-298.902466,-193.404678,-119.343224,-244.918167,-121.546997,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-381.831451,-307.267120,-190.833847,-124.966980,-254.093948,-132.805237,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-370.806702,-296.183807,-180.345581,-110.419876,-240.254776,-118.526176,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-371.306366,-294.510223,-181.938309,-130.909012,-249.784012,-132.658234,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-383.235077,-311.100037,-197.631592,-107.004318,-235.231262,-116.203461,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-355.993317,-269.011932,-166.279770,-53.938667,-189.352356,-89.845695,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-362.171509,-279.635834,-168.123489,-61.722382,-211.577560,-91.188560,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-378.277740,-293.098267,-170.519028,-97.939682,-228.518860,-111.694405,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-381.030975,-303.772919,-189.854309,-120.235031,-245.098160,-133.255203,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-388.854279,-304.314056,-173.663025,-113.772667,-228.223175,-122.965790,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-395.536896,-307.440277,-169.608322,-115.965759,-228.462677,-122.553467,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-352.313965,-262.547729,-145.394867,-68.525154,-192.281555,-97.090775,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-343.738831,-247.142197,-134.462387,-73.856880,-191.263626,-98.658150,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-372.803864,-288.531647,-173.819901,-120.848434,-241.873566,-130.875031,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-371.964691,-276.822876,-146.487686,-105.999138,-233.278534,-114.665504,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
fel,-293.027649,-85.816605,61.883320,319.055389,161.949860,181.060059,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616,421.568390,282.367767,645.893616
boink,1136.337524,842.184753,1242.672607,-281.450226,-115.934967,669.808594,-240.753830,-57.082565,784.846924,-109.097008,147.945175,856.097473,418.830933,280.534210,641.699524
boink,1325.095703,1059.939819,1299.494019,-291.473022,-76.789368,687.012634,-279.305908,-102.701958,761.698914,-138.878510,131.360519,888.578735,418.830933,280.534210,641.699524
boink,1316.031860,1047.980835,1277.571899,-305.091797,-100.718369,656.373840,-287.315094,-112.867142,748.069275,-161.424988,98.846375,856.485229,418.830933,280.534210,641.699524
boink,1313.135132,1048.832642,1271.591553,-310.747345,-108.824783,648.372437,-291.402740,-117.315125,741.652039,-175.011841,81.051071,841.098633,418.830933,280.534210,641.699524
boink,1322.104858,1055.974487,1280.103027,-313.299530,-110.399643,652.028442,-292.993469,-117.869759,746.855347,-177.753387,79.338615,844.660400,421.568390,282.367767,645.893616
boink,1313.370850,1048.826538,1271.707031,-310.736664,-109.701561,647.677795,-291.638702,-117.235184,742.354248,-176.894211,77.651161,838.939697,418.830933,280.534210,641.699524
boink,1313.984253,1048.997681,1272.158691,-311.483032,-110.175095,647.083435,-290.858459,-116.799164,742.291748,-177.413864,76.111015,838.006531,418.830933,280.534210,641.699524
boink,1313.724731,1048.786499,1271.693237,-311.762207,-110.647057,646.342590,-291.221497,-117.134674,741.869080,-177.947540,74.801567,837.338684,418.830933,280.534210,641.699524
boink,1313.365967,1048.600464,1271.441895,-311.858276,-110.549927,646.899658,-290.666779,-116.676773,742.205322,-178.575943,73.204895,835.945190,418.830933,280.534210,641.699524
boink,1313.259033,1048.393188,1271.132446,-311.521179,-110.856537,646.285461,-290.979065,-116.981674,741.745728,-179.191635,72.303291,836.232422,418.830933,280.534210,641.699524
boink,1313.056152,1047.991577,1270.625366,-311.336578,-110.821411,645.941650,-290.812958,-116.524124,742.236267,-179.116943,71.509254,834.721069,418.830933,280.534210,641.699524
boink,1312.510620,1047.772217,1270.071899,-312.282532,-111.570869,645.549255,-291.073944,-116.830338,741.732239,-179.456421,71.052872,835.306946,418.830933,280.534210,641.699524
boink,1312.924194,1048.225708,1270.575195,-312.397003,-112.320595,644.337097,-291.024841,-116.500435,742.477417,-180.270966,70.056152,834.485901,418.830933,280.534210,641.699524
boink,1313.304810,1048.295776,1270.785889,-312.123108,-111.943802,644.553406,-291.279266,-116.992455,741.903076,-180.907837,68.779961,834.034973,418.830933,280.534210,641.699524
boink,1312.746094,1047.486572,1270.097778,-312.285980,-112.400940,644.562134,-291.342529,-116.530907,742.800964,-180.585632,68.583206,833.451477,418.830933,280.534210,641.699524
boink,1321.303101,1054.567261,1278.674927,-314.469360,-113.101318,648.873047,-292.481812,-117.138893,747.351135,-182.176987,68.036865,838.328979,421.568390,282.367767,645.893616
boink,1321.577148,1054.941406,1278.842407,-314.697723,-113.381126,648.304443,-293.281311,-117.832176,747.277222,-182.670898,67.738281,838.674316,421.568390,282.367767,645.893616
boink,1321.874512,1055.381958,1279.092773,-315.195831,-113.758804,648.293701,-293.195068,-117.283615,747.059692,-182.792526,66.695969,837.368225,421.568390,282.367767,645.893616
boink,1321.430664,1054.766602,1278.637329,-314.545837,-113.654579,647.365540,-293.540344,-117.931732,746.588623,-183.123718,66.180756,837.259399,421.568390,282.367767,645.893616
boink,1312.539673,1047.833008,1270.153076,-312.777649,-112.961372,643.852722,-291.011047,-116.543289,741.896240,-182.405090,65.075958,831.632874,418.830933,280.534210,641.699524
boink,1321.071899,1054.298340,1278.085449,-315.802490,-114.438232,647.231812,-293.057861,-117.420280,747.206909,-182.753937,65.765167,837.432922,421.568390,282.367767,645.893616
